gene_symbol	wikipedia_daily_page_views	wikipedia_daily_page_views_change_from_previous_day	view_rank	view_rank_delta
ABCD3	16	0	912	6028
BACH2	16	0	913	6040
ALDOB	16	16	914	-329
FBN3	16	21	915	-466
PAX7	16	12	916	-150
SLC7A11	16	5	917	694
PDCD1LG2	16	7	918	287
SCN10A	16	4	919	1035
CD7	16	5	920	718
NBL1	16	29	921	-592
RTP2	16	14	922	-256
PIFO	16	4	923	1128
HLA-DQB1	15	3	924	1134
IL12B	15	7	925	175
GNAS	15	13	926	-250
SMARCA4	15	6	927	313
VKORC1	15	7	928	185
STK11	15	14	929	-291
CYP21A2	15	13	930	-248
BST2	15	11	931	-140
SMN1	15	10	932	-96
IL1R1	15	7	933	188
CXCR2	15	4	934	779
TPMT	15	10	935	-97
PTPN1	15	1	936	2840
NGFR	15	3	937	1148
HLA-DRA	15	4	938	778
SIN3A	15	2	939	1733
FADD	15	17	940	-405
ALOX5	15	9	941	-24
NF2	15	12	942	-201
BMP7	15	10	943	-99
TEK	15	9	944	-21
SLC26A4	15	7	945	184
FGF1	15	5	946	514
SERPINA3	15	1	947	2863
KRT19	15	15	948	-339
WNT1	15	6	949	327
NR4A1	15	7	950	191
GDNF	15	9	951	-19
FKBP5	15	7	952	193
CTSK	15	3	953	1199
MEF2C	15	0	954	5352
GPC3	15	8	955	80
ISG15	15	16	956	-380
CTSS	15	12	957	-204
ICOS	15	12	958	-203
HSPG2	15	13	959	-260
SLC5A5	15	7	960	199
IRAK4	15	4	961	835
ALCAM	15	2	962	1845
SCN9A	15	11	963	-157
VAMP2	15	4	964	848
GATA6	15	8	965	87
JUND	15	5	966	551
IDS	15	1	967	2989
GAL	15	13	968	-261
BCL11A	15	5	969	576
FABP1	15	1	970	3057
PDE4B	15	5	971	576
CD70	15	11	972	-162
CCKAR	15	6	973	360
SIRT6	15	12	974	-210
ASPM	15	7	975	216
GPHN	15	3	976	1360
GRP	15	26	977	-613
AGL	15	15	978	-357
IL17RA	15	1	979	3397
TRPV2	15	4	980	965
SLAMF7	15	2	981	2365
POLQ	15	1	982	4167
RHOF	15	6	983	420
CELP	15	8	984	112
LIPK	15	10	985	-87
SMAD3	14	8	986	8
ERCC1	14	16	987	-428
HBA1	14	12	988	-258
NQO1	14	5	989	429
HNF1A	14	8	990	8
NRG1	14	16	991	-429
CASP9	14	15	992	-394
ZAP70	14	16	993	-427
HMGA2	14	7	994	131
TSG101	14	9	995	-77
AQP1	14	8	996	13
CHI3L1	14	4	997	728
KAT5	14	5	998	456
KRT8	14	6	999	264
SOS1	14	2	1000	1705
ENO1	14	6	1001	266
TSC1	14	9	1002	-76
MCM7	14	5	1003	461
CCL11	14	8	1004	22
ATRX	14	7	1005	141
